City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
287,giyani,-23.3025,30.7187,20.82,43.0,0.0,ZA,1686412408.0,2.47
288,shingu,33.7333,135.9833,18.73,95.0,100.0,JP,1686412408.0,0.89
289,walla walla,46.0646,-118.343,19.73,70.0,81.0,US,1686412408.0,2.0
290,canico,32.6333,-16.85,25.95,73.0,20.0,PT,1686412409.0,2.24
291,pemangkat,1.1667,108.9667,26.37,85.0,91.0,ID,1686412409.0,3.62
292,cajabamba,-7.6167,-78.05,17.84,59.0,28.0,PE,1686412409.0,2.2
293,umba,66.6871,34.3429,10.55,47.0,99.0,RU,1686412409.0,3.13
294,abaza,52.655,90.0928,16.6,97.0,99.0,RU,1686412409.0,6.88
295,newman,37.3138,-121.0208,16.8,11.0,100.0,US,1686412409.0,6.72
296,hammerfest,70.6634,23.6821,12.25,50.0,0.0,NO,1686412409.0,4.63
297,tvoroyri,61.5556,-6.8111,10.04,93.0,70.0,FO,1686412410.0,1.2
298,saint-pierre,-21.3393,55.4781,24.82,65.0,100.0,RE,1686412410.0,6.17
299,bandon,51.7469,-8.7425,16.77,92.0,97.0,IE,1686412410.0,1.91
300,prainha,-1.8,-53.48,30.81,58.0,6.0,BR,1686412415.0,4.46
301,dunedin,-45.8742,170.5036,8.22,52.0,45.0,NZ,1686412415.0,2.29
302,qiongshan,20.0058,110.3542,26.99,94.0,0.0,CN,1686412415.0,3.09
303,gangneung,37.7556,128.8961,16.31,93.0,78.0,KR,1686412415.0,6.89
304,derzhavinsk,51.1,66.3167,20.45,31.0,6.0,KZ,1686412416.0,1.09
305,hazard,37.2495,-83.1932,24.83,31.0,6.0,US,1686412416.0,5.37
306,cozumel,20.5083,-86.9458,31.64,85.0,47.0,MX,1686412126.0,9.85
307,rechytsa,52.3617,30.3916,18.06,93.0,100.0,BY,1686412416.0,3.6
308,taoudenni,22.6783,-3.9836,43.79,8.0,1.0,ML,1686412416.0,4.63
309,jefferson city,38.5767,-92.1735,27.13,36.0,0.0,US,1686412416.0,2.88
310,as samawah,31.332,45.2944,40.75,13.0,2.0,IQ,1686412416.0,3.08
311,calama,-22.4667,-68.9333,17.27,4.0,0.0,CL,1686412416.0,3.4
312,wynyard,-41.0,145.7167,11.1,81.0,19.0,AU,1686412417.0,3.09
313,monteiro,-7.8894,-37.12,30.29,40.0,35.0,BR,1686412417.0,0.72
314,magadan,59.5667,150.8,5.81,92.0,61.0,RU,1686412417.0,2.65
315,glace bay,46.1969,-59.957,16.72,67.0,75.0,CA,1686412417.0,7.16
316,rongelap,11.1635,166.8941,27.77,83.0,100.0,MH,1686412417.0,2.28
317,hami,42.8,93.45,31.81,11.0,1.0,CN,1686412417.0,1.66
318,steinbach,50.1667,8.5667,29.2,37.0,46.0,DE,1686412417.0,3.09
319,tual,-5.6667,132.75,27.54,81.0,100.0,ID,1686412417.0,1.68
320,wajir,1.7471,40.0573,32.98,40.0,40.0,KE,1686412418.0,3.68
321,macapa,0.0389,-51.0664,31.99,70.0,40.0,BR,1686412418.0,6.17
322,ambodifotatra,-16.9833,49.85,25.29,66.0,0.0,MG,1686412418.0,7.34
323,ulanhot,46.0833,122.0833,13.53,85.0,89.0,CN,1686412418.0,2.89
324,karratha,-20.7377,116.8463,21.31,53.0,2.0,AU,1686412418.0,3.64
325,quellon,-43.1167,-73.6167,9.14,71.0,20.0,CL,1686412418.0,5.14
326,ulaangom,49.9811,92.0667,22.32,36.0,32.0,MN,1686412418.0,7.36
327,nianzishan,47.5167,122.8833,14.08,79.0,64.0,CN,1686412418.0,5.48
328,nova sintra,14.8667,-24.7167,22.39,82.0,5.0,CV,1686412419.0,5.14
329,port-cartier,50.0334,-66.8654,15.42,67.0,92.0,CA,1686412419.0,1.54
330,carbonear,47.7332,-53.2148,10.97,97.0,100.0,CA,1686412419.0,2.24
331,meerane,50.85,12.4667,25.99,53.0,0.0,DE,1686412419.0,5.03
332,mahmudabad,27.3,81.1167,38.22,16.0,0.0,IN,1686412419.0,1.79
333,la junta,37.985,-103.5438,21.7,37.0,28.0,US,1686412419.0,2.53
334,colonia,50.9333,6.95,31.09,26.0,0.0,DE,1686412301.0,4.12
335,bir el ater,34.7449,8.0602,27.4,38.0,5.0,DZ,1686412419.0,5.14
336,xilin hot,43.9667,116.0333,9.79,82.0,80.0,CN,1686412420.0,4.63
337,castillos,-34.1667,-53.8333,15.22,54.0,89.0,UY,1686412420.0,1.17
338,bobo-dioulasso,11.1771,-4.2979,30.25,58.0,20.0,BF,1686412420.0,3.77
339,fale old settlement,-9.3852,-171.2468,28.4,81.0,74.0,TK,1686412420.0,2.83
340,taourirt,34.4073,-2.8973,28.96,39.0,3.0,MA,1686412420.0,2.06
341,khorramabad,33.4878,48.3558,31.79,14.0,20.0,IR,1686412420.0,6.88
342,bastrop,32.7562,-91.8724,32.05,60.0,0.0,US,1686412330.0,0.51
343,jakobstad,63.6749,22.7026,17.09,40.0,28.0,FI,1686412420.0,1.1
344,yershov,51.3513,48.2766,21.74,55.0,56.0,RU,1686412421.0,2.29
345,isoka,-10.1606,32.6335,18.82,61.0,11.0,ZM,1686412421.0,4.16
346,jaciara,-15.9653,-54.9683,32.83,30.0,1.0,BR,1686412421.0,1.3
347,la libertad,-2.2333,-80.9,27.81,78.0,75.0,EC,1686412134.0,3.0
348,timimoun,29.2639,0.231,41.21,6.0,0.0,DZ,1686412421.0,2.44
349,filadelfia,39.9523,-75.1638,25.68,49.0,20.0,US,1686412255.0,4.16
350,fernie,49.5,-115.0687,18.05,72.0,93.0,CA,1686412304.0,3.41
351,aghstafa,41.1189,45.4539,19.74,92.0,99.0,AZ,1686412426.0,3.47
352,sanctuary point,-35.1114,150.629,11.53,79.0,3.0,AU,1686412427.0,3.67
353,luumaki,60.9262,27.5814,16.03,33.0,14.0,FI,1686412427.0,3.15
354,petra,30.3222,35.4793,22.63,43.0,1.0,JO,1686412427.0,0.8
355,vershino-darasunskiy,52.35,115.5167,10.17,78.0,4.0,RU,1686412427.0,3.62
356,bangassou,4.7413,22.8184,26.69,61.0,100.0,CF,1686412427.0,2.57
357,kirensk,57.7853,108.1119,16.38,95.0,92.0,RU,1686412427.0,4.12
358,kstovo,56.1473,44.1979,12.66,55.0,21.0,RU,1686412427.0,3.58
359,uacu cungo,-11.3634,15.1208,25.97,32.0,89.0,AO,1686412427.0,1.34
360,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,54.0,75.0,RU,1686412428.0,1.49
361,mount gambier,-37.8333,140.7667,8.79,97.0,60.0,AU,1686412214.0,0.45
363,fisterra,42.9049,-9.2629,22.23,87.0,54.0,ES,1686412428.0,5.14
364,noumea,-22.2763,166.4572,20.0,99.0,0.0,NC,1686411833.0,4.43
365,nahiyat ash shinafiyah,31.5874,44.6602,41.01,13.0,4.0,IQ,1686412428.0,4.12
366,villa angela,-27.5738,-60.7153,22.87,67.0,70.0,AR,1686412428.0,5.15
367,hasaki,35.7333,140.8333,21.23,94.0,100.0,JP,1686412428.0,3.09
368,olovyannaya,50.95,115.5667,14.7,67.0,68.0,RU,1686412429.0,5.89
369,jijiga,9.35,42.8,20.1,77.0,94.0,ET,1686412429.0,1.34
370,labrador city,52.9463,-66.9114,15.95,63.0,40.0,CA,1686412429.0,4.12
372,atar,20.5169,-13.0499,43.03,17.0,0.0,MR,1686412429.0,4.81
373,marsa alam,25.0757,34.8918,30.94,54.0,0.0,EG,1686412429.0,1.51
374,ocala,29.1872,-82.1401,31.21,65.0,20.0,US,1686412261.0,2.09
376,tyazhinskiy,56.116,88.524,11.41,92.0,100.0,RU,1686412430.0,4.92
377,merritt,50.1123,-120.7942,16.85,70.0,97.0,CA,1686412430.0,5.38
378,vila franca do campo,37.7167,-25.4333,19.23,65.0,6.0,PT,1686412430.0,3.13
379,sale,34.0389,-6.8166,26.46,60.0,40.0,MA,1686412430.0,4.37
380,vilyuchinsk,52.9306,158.4028,12.15,70.0,63.0,RU,1686412430.0,0.87
381,salinas,36.6777,-121.6555,14.79,83.0,100.0,US,1686412431.0,0.43
382,kidal,18.4411,1.4078,42.78,9.0,7.0,ML,1686412431.0,3.34
383,chalus,36.655,51.4204,24.7,73.0,20.0,IR,1686412431.0,3.54
384,niafunke,15.9322,-3.9906,43.98,9.0,1.0,ML,1686412431.0,1.49
385,mantua,45.1667,10.7833,27.58,64.0,82.0,IT,1686412431.0,6.29
386,westport,41.1415,-73.3579,23.04,55.0,0.0,US,1686412166.0,1.65
387,palikir - national government center,6.9248,158.1611,24.41,94.0,100.0,FM,1686412431.0,2.79
388,mil'kovo,55.6078,37.7956,16.11,47.0,96.0,RU,1686412431.0,2.57
389,zinjibar,13.1287,45.3807,32.97,57.0,100.0,YE,1686412432.0,4.72
390,telimele,10.9167,-13.3333,30.95,55.0,82.0,GN,1686412432.0,9.0
391,kudahuvadhoo,2.6708,72.8944,28.45,77.0,74.0,MV,1686412432.0,2.51
392,ylitornio,66.3089,23.6773,13.8,42.0,72.0,FI,1686412432.0,7.93
393,awjilah,29.1081,21.2869,33.64,17.0,55.0,LY,1686412432.0,3.6
394,kayangel,8.0823,134.7173,28.62,75.0,93.0,PW,1686412432.0,3.09
395,betio village,1.358,172.9211,29.02,77.0,41.0,KI,1686412432.0,8.93
396,dompu,-8.5356,118.4622,23.49,95.0,92.0,ID,1686412432.0,1.21
397,sevlievo,43.0258,25.1136,26.19,65.0,29.0,BG,1686412433.0,1.86
398,ancud,-41.8697,-73.8203,8.48,69.0,68.0,CL,1686412433.0,2.86
399,karagandy,49.8019,73.1021,13.97,43.0,23.0,KZ,1686412433.0,3.85
400,tumut,-35.3,148.2167,3.84,88.0,1.0,AU,1686412438.0,0.91
401,udachny,66.4167,112.4,9.14,100.0,100.0,RU,1686412438.0,1.47
402,isabela,6.7085,121.9711,27.03,79.0,100.0,PH,1686412438.0,1.44
403,nova olimpia,-14.7972,-57.2881,33.5,34.0,1.0,BR,1686412438.0,8.23
404,saipan,15.1355,145.701,28.39,100.0,20.0,MP,1686412439.0,4.98
405,maua,-23.6678,-46.4614,27.04,44.0,0.0,BR,1686412207.0,4.82
406,villa gesell,-37.2639,-56.973,10.59,44.0,53.0,AR,1686412439.0,3.41
407,santa elena de uairen,4.6167,-61.1333,26.34,64.0,54.0,VE,1686412439.0,4.42
408,mejit,10.2753,170.8646,27.78,77.0,100.0,MH,1686412439.0,5.05
409,howrah,22.5892,88.3103,30.0,79.0,75.0,IN,1686412439.0,1.54
410,remire-montjoly,4.9167,-52.2667,29.02,70.0,0.0,GF,1686412439.0,1.95
411,iskateley,67.6803,53.1512,5.14,64.0,100.0,RU,1686412439.0,7.2
412,sandersville,32.9815,-82.8101,28.69,34.0,12.0,US,1686412439.0,2.71
413,bokoro,12.3807,17.0568,33.04,41.0,97.0,TD,1686412440.0,1.64
414,ravar,31.2656,56.8055,31.75,21.0,14.0,IR,1686412440.0,0.83
415,bac lieu,9.285,105.7244,27.51,83.0,99.0,VN,1686412440.0,4.78
416,bodaybo,57.8506,114.1933,17.32,61.0,44.0,RU,1686412440.0,4.06
417,diapaga,12.0708,1.7889,37.88,27.0,77.0,BF,1686412440.0,5.64
418,la mira,18.035,-102.3266,31.55,49.0,98.0,MX,1686412440.0,0.27
419,keflavik,64.0049,-22.5624,8.95,57.0,20.0,IS,1686412440.0,6.91
420,rio grande,-32.035,-52.0986,15.06,95.0,100.0,BR,1686412441.0,7.32
421,tabou,4.423,-7.3528,25.61,88.0,100.0,CI,1686412441.0,2.11
422,opuwo,-18.0607,13.84,26.47,16.0,56.0,NA,1686412441.0,0.45
423,mayna,54.1135,47.6231,11.45,74.0,97.0,RU,1686412441.0,7.83
424,al kharj,24.155,47.3346,42.32,8.0,0.0,SA,1686412441.0,4.74
425,los angeles,34.0522,-118.2437,17.95,85.0,100.0,US,1686411867.0,3.6
426,kodinsk,58.6881,99.1844,15.55,72.0,97.0,RU,1686412441.0,3.29
427,dauphin,51.1494,-100.0502,15.08,58.0,20.0,CA,1686412442.0,2.52
428,port douglas,-16.4833,145.4667,20.65,82.0,52.0,AU,1686412442.0,1.1
429,kerikeri,-35.2268,173.9474,8.09,94.0,11.0,NZ,1686412442.0,2.42
430,mogocha,53.7333,119.7667,11.33,84.0,8.0,RU,1686412442.0,4.63
431,chake chake,-5.2459,39.7666,25.06,83.0,54.0,TZ,1686412442.0,1.85
432,port lincoln,-34.7333,135.8667,13.41,67.0,69.0,AU,1686412442.0,1.74
433,dabhol,17.6,73.1667,28.19,73.0,99.0,IN,1686412443.0,1.99
434,dame-marie,18.5667,-74.4167,29.96,63.0,97.0,HT,1686412443.0,3.19
435,kilinochchi,9.3961,80.3982,27.92,77.0,89.0,LK,1686412443.0,4.08
436,kurchatov,51.6601,35.6521,18.23,88.0,100.0,RU,1686412199.0,2.0
437,zajecar,43.9036,22.2641,26.69,71.0,22.0,RS,1686412443.0,2.57
439,fortuna,40.5982,-124.1573,12.74,95.0,100.0,US,1686412363.0,7.03
440,pangody,65.85,74.4859,13.28,42.0,100.0,RU,1686412444.0,4.63
441,ochakiv,46.6128,31.5498,21.29,72.0,100.0,UA,1686412444.0,2.84
442,bizerte,37.2744,9.8739,27.0,65.0,40.0,TN,1686412444.0,7.72
444,pokrovsk,48.282,37.1758,21.07,63.0,100.0,UA,1686412444.0,3.6
445,guarapari,-20.6667,-40.4975,29.38,61.0,0.0,BR,1686412445.0,3.87
446,paoua,7.2427,16.4406,27.9,65.0,100.0,CF,1686412445.0,3.32
447,quelimane,-17.8786,36.8883,22.13,84.0,0.0,MZ,1686412445.0,1.3
448,north bay,46.3168,-79.4663,22.19,63.0,75.0,CA,1686412445.0,2.93
449,kalmunai,7.4167,81.8167,29.09,73.0,91.0,LK,1686412445.0,2.62
450,guatire,10.4762,-66.5427,32.05,50.0,37.0,VE,1686412450.0,0.0
451,batang,-6.4846,110.7083,25.93,82.0,11.0,ID,1686412451.0,7.84
452,aban,56.67,96.06,14.88,77.0,100.0,RU,1686412451.0,1.84
453,umm kaddadah,13.6017,26.6876,28.25,51.0,100.0,SD,1686412451.0,1.83
454,khorramdarreh,36.213,49.196,20.73,54.0,49.0,IR,1686412451.0,5.14
455,beau vallon,-20.4189,57.6953,24.13,69.0,20.0,MU,1686412451.0,1.33
456,ranau,5.9538,116.6641,22.07,94.0,100.0,MY,1686412451.0,3.7
457,cockburn town,21.4612,-71.1419,27.89,84.0,36.0,TC,1686412452.0,4.76
458,burlington,39.8835,-74.6413,25.43,53.0,0.0,US,1686412452.0,1.71
459,angaur state,6.906,134.13,28.58,76.0,90.0,PW,1686412453.0,2.36
460,rabak,13.1809,32.74,33.05,42.0,46.0,SD,1686412453.0,2.3
461,morondava,-20.2833,44.2833,23.97,70.0,1.0,MG,1686412453.0,3.13
462,rio de janeiro,-22.9028,-43.2075,32.97,57.0,0.0,BR,1686412377.0,0.0
463,melo,-32.3667,-54.1833,12.21,87.0,100.0,UY,1686412453.0,6.37
464,raduzhnyy,62.0961,77.475,11.21,45.0,61.0,RU,1686412454.0,2.57
465,purranque,-40.9167,-73.1667,7.93,84.0,68.0,CL,1686412454.0,3.09
466,alo,7.4178,6.7371,30.2,66.0,96.0,NG,1686412454.0,8.82
468,kruisfontein,-34.0033,24.7314,14.38,78.0,3.0,ZA,1686412454.0,2.24
469,paka,4.6374,103.4368,25.96,94.0,38.0,MY,1686412454.0,3.23
470,islamkot,24.6997,70.177,33.83,50.0,0.0,PK,1686412455.0,1.99
471,escarcega,18.6089,-90.7454,35.54,38.0,34.0,MX,1686412455.0,5.22
472,gokwe,-18.2048,28.9349,20.75,24.0,58.0,ZW,1686412455.0,4.72
473,rabo de peixe,37.8,-25.5833,18.73,68.0,20.0,PT,1686412455.0,1.96
474,puerto carreno,6.189,-67.4859,30.57,62.0,21.0,CO,1686412455.0,2.81
475,bratske,47.865,31.5731,23.83,46.0,100.0,UA,1686412455.0,3.25
476,pemba,-12.974,40.5178,25.54,74.0,2.0,MZ,1686412456.0,2.57
477,ola,59.5833,151.2833,5.62,94.0,45.0,RU,1686412456.0,9.12
478,sol'-iletsk,51.1631,54.9918,22.99,38.0,20.0,RU,1686412456.0,5.04
479,beloha,-25.1667,45.05,19.73,89.0,0.0,MG,1686412456.0,1.48
480,marquette,46.5333,-87.6335,16.81,84.0,62.0,US,1686412456.0,2.57
481,isangel,-19.55,169.2667,18.06,82.0,20.0,VU,1686412456.0,1.31
482,acarau,-2.8856,-40.12,28.98,69.0,35.0,BR,1686412335.0,6.21
